ano,parlamentar,entidade_beneficiada,municipio,cnpj,orgao,objeto,valor
2019,ABELARDO CAMARINHA,APAE MARÍLIA,MARÍLIA,52.061.264/0001-59,SAÚDE,AQUISIÇÃO DE EQUIPAMENTO,80000
2019,ABELARDO CAMARINHA,ESPAÇO POTENCIAL MARÍLIA,MARÍLIA,11.911.681/0001-66,SAÚDE,AQUISIÇÃO DE EQUIPAMENTO,120000
2019,ABELARDO CAMARINHA,ASSOC. FEM. MARÍLIA GOTA DE LEITE,MARÍLIA,52.050.911/0001-27,SAÚDE,CUSTEIO,100000
2019,ABELARDO CAMARINHA,ASSOC. BENEFICENTE HOSPITAL UNIVERSITÁRIO DE MARÍLIA,MARÍLIA,09.528.436/0001-22,SAÚDE,CUSTEIO,2000000
2019,ABELARDO CAMARINHA,ASSOC. DE COMBATE AO CÂNCER,MARÍLIA,59.990.960/0001-99,SAÚDE,AQUISIÇÃO DE EQUIPAMENTO,53970
2019,ABELARDO CAMARINHA,HOSPITAL ESPÍRITA DE MARÍLIA,MARÍLIA,52.050.010/0001-35,SAÚDE,CUSTEIO,100000
2019,ADILSON ROSSI,IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE ITATIBA,ITATIBA,50.119.585/0001-31,SAÚDE,AQUISIÇÃO DE EQUIPAMENTOS,400000
2019,ADILSON ROSSI,PREFEITURA MUNICIPAL DE CARAPICUÍBA,CARAPICUÍBA,44.892.693/0001-40,SAÚDE,REFORMA DE UBS,1900000
2019,ADILSON ROSSI,INSTITUTO BRASILEIRO DE CONTROLE DO CANCER,SÃO PAULO,62.932.942/000 1-65,SAÚDE,AQUISICAO DE EQUIPAMENTOS,150000
2019,AFONSO LOBATO,SANTA CASA,APARECIDA,43.667.179/0001-48,SAÚDE,CUSTEIO,300000
2019,AFONSO LOBATO,PREFEITURA,CAÇAPAVA,45.189.305/0001-21,SAÚDE,CUSTEIO,300000
2019,AFONSO LOBATO,PREFEITURA,CRUZEIRO,46.668.596/0001-01,SAÚDE,CUSTEIO,300000
2019,AFONSO LOBATO,SANTA CASA,CUNHA,47.531.835/0001-31,SAÚDE,CUSTEIO,100000
2019,AFONSO LOBATO,SANTA CASA,GUARATINGUETÁ,48.547.806/0001-20,SAÚDE,CUSTEIO,300000
2019,AFONSO LOBATO,PREFEITURA,NATIVIDADE DA SERRA,45.686.227/0001-70,SAÚDE,AQUISIÇÃO DE AMBULÂNCIA,150000
2019,AFONSO LOBATO,PREFEITURA,NATIVIDADE DA SERRA,45.686.227/0001-70,SAÚDE,AQUISIÇÃO DE VEÍCULOS DE TRANSPORTE DE PACIENTES,150000
2019,AFONSO LOBATO,PREFEITURA,REDENÇÃO DA SERRA,45.167.517/0001-08,SAÚDE,AQUISIÇÃO DE AMBULÂNCIA,150000
2019,AFONSO LOBATO,PREFEITURA,SÃO BENTO DO SAPUCAÍ,45.195.823/0001-58,SAÚDE,AQUISIÇÃO DE VEÍCULOS DE TRANSPORTE DE PACIENTES,150000
2019,AFONSO LOBATO,SANTA CASA,SÃO BENTO DO SAPUCAÍ,59.086.215/0001-10,SAÚDE,CUSTEIO,100000
2019,AFONSO LOBATO,SANTA CASA,SÃO JOSÉ DOS CAMPOS,45.186.053/0001-87,SAÚDE,CUSTEIO,200000
2019,AFONSO LOBATO,GAAC – HOSPITAL INFANTIL,SÃO JOSÉ DOS CAMPOS,01.146.603/0001-69,SAÚDE,CUSTEIO,103970
2019,AFONSO LOBATO,PREFEITURA,TAMBAÚ,46.373.445/0001-18,SAÚDE,AQUISIÇÃO DE AMBULÂNCIA,150000
2019,ALDO DEMARCHI,PREFEITURA MUNICIPAL,AMÉRICO BRASILIENSE,43.976.166/0001-50,SAÚDE,AQUISIÇÃO DE AMBULÂNCIA,150000
2019,ALDO DEMARCHI,PREFEITURA MUNICIPAL,ANALÂNDIA,44.659.076/0001-07,SAÚDE,AQUISIÇÃO DE AMBULÂNCIA,100000
2019,ALDO DEMARCHI,PREFEITURA MUNICIPAL,ARARAS,44.215.846/0001-14,SAÚDE,CUSTEIO,150000
2019,ALDO DEMARCHI,PREFEITURA MUNICIPAL,AVARÉ,46.634.168/0001-50,SAÚDE,CUSTEIO,0
2019,ALDO DEMARCHI,HOSPITAL DE AMOR DE BARRETOS,BARRETOS,49.150.352/0001-12,SAÚDE,CUSTEIO,100000
2019,ALDO DEMARCHI,HOSPITAL SANTA TEREZINHA,BROTAS,45.775.608/0001-26,SAÚDE,CUSTEIO,100000
2019,ALDO DEMARCHI,PREFEITURA MUNICIPAL,CERQUEIRA CESAR,46.634.184/0001-42,SAÚDE,CUSTEIO,100000
2019,ALDO DEMARCHI,PREFEITURA MUNICIPAL,CERQUILHO,46.634.614/0001-26,SAÚDE,CONSTRUÇÃO DE UNIDADE,100000
2019,ALDO DEMARCHI,HOSPITAL E MATERNIDADE BENEFICENTE DE CHARQUEADA,CHARQUEADA,51.421.279/0001-18,SAÚDE,CUSTEIO,100000
2019,ALDO DEMARCHI,SANTA CASA,DESCALVADO,47.544.663/0001-30,SAÚDE,REFORMA DE UNIDADE,100000
2019,ALDO DEMARCHI,PREFEITURA MUNICIPAL,ITAPUÍ,46.189.726/0001-15,SAÚDE,CUSTEIO,100000
2019,ALDO DEMARCHI,PREFEITURA MUNICIPAL,ITIRAPINA,46.313.714/0001-50,SAÚDE,REFORMA DE UNIDADE (INVESTIMENTO),100000
2019,ALDO DEMARCHI,PREFEITURA MUNICIPAL,MANDURI,46.223.749/0001-07,SAÚDE,AQUISIÇÃO DE EQUIPAMENTOS,100000
2019,ALDO DEMARCHI,PREFEITURA MUNICIPAL,MOMBUCA,44.723.765/0001-25,SAÚDE,CUSTEIO,50000
2019,ALDO DEMARCHI,PREFEITURA MUNICIPAL,MOTUCA,68.319.987/0001-45,SAÚDE,AQUISIÇÃO DE AMBULÂNCIA,100000
2019,ALDO DEMARCHI,PREFEITURA MUNICIPAL,PANORAMA,44.918.712/0001-60,SAÚDE,CUSTEIO,100000
2019,ALDO DEMARCHI,PREFEITURA MUNICIPAL,PONTES GESTAL,45.162.328/0001-42,SAÚDE,REFORMA DE UNIDADE,100000
2019,ALDO DEMARCHI,PREFEITURA MUNICIPAL,PORTO FERREIRA,45.339.363/0001-94,SAÚDE,REFORMA DE UNIDADE (CENTRO ODONTOLÓGICO),100000
2019,ALDO DEMARCHI,ASSOCIAÇÃO BENEFICENTE NOSSA SENHORA DO PARI,SÃO PAULO,05.245.390/0001-83,SAÚDE,CUSTEIO,100000
2019,ALDO DEMARCHI,SANTA CASA,SANTA BÁRBARA D’OESTE,56.725.385/0001-09,SAÚDE,REFORMA DE UNIDADE(INVESTIMENTO),150000
2019,ALDO DEMARCHI,PREFEITURA MUNICIPAL,TAMBAÚ,46.373.445/0001-18,SAÚDE,AQUISIÇÃO DE VEÍCULO DE TRANSPORTE DE PACIENTES,100000
2019,ALDO DEMARCHI,PREFEITURA MUNICIPAL,TIETÊ,46.634.598/0001-71,SAÚDE,AQUISIÇÃO DE VEÍCULO DE TRANSPORTE DE PACIENTES,150000
2019,ALDO DEMARCHI,IRMANDADE DO HOSPITAL DE CARIDADE PADRE NICANOR MERINO,TORRINHA,44.720.845/0001-27,SAÚDE,REFORMA DE UNIDADE (INVESTIMENTO),100000
2019,ALENCAR SANTANA BRAGA,PREFEITURA DE HORTOLÂNDIA,HORTOLÂNDIA,67.995.027/0001-32,SAÚDE,AQUISIÇÃO DE MEDICAMENTOS NO TRATAMENTO DE MÉDIA E ALTA COMPLEXIDADE,260000
2019,ALENCAR SANTANA BRAGA,PREFEITURA DE FRANCO DA ROCHA,FRANCO DA ROCHA,46.523.080/0001-60,SAÚDE,AQUISIÇÃO DE INSUMOS HOSPITALARES E MEDICAMENTOS,500000
2019,ALENCAR SANTANA BRAGA,PREFEITURA DE FRANCO DA ROCHA,FRANCO DA ROCHA,46.523.080/0001-60,SAÚDE,AQUISIÇÃO DE INSUMOS HOSPITALARES E MEDICAMENTOS,500970
2019,ALENCAR SANTANA BRAGA,PREFEITURA DE FRANCO DA ROCHA,FRANCO DA ROCHA,46.523.080/0001-60,SAÚDE,AQUISIÇÃO DE INSUMOS HOSPITALARES E MEDICAMENTOS,500000
2019,ALENCAR SANTANA BRAGA,PREFEITURA DE COTIA,COTIA,46.523.049/0001-20,SAÚDE,AQUISIÇÃO DE INSUMOS HOSPITALARES E MEDICAMENTOS,500000
