ano,parlamentar,entidade_beneficiada,municipio,cnpj,orgao,objeto,valor
2021,ADALBERTO FREITAS,ASSOCIACAO DE ASSISTENCIA A CRIANCA DEFICIENTE,SÃO PAULO,60.979.457/0001-11,SAÚDE,CUSTEIO,100000
2021,ADALBERTO FREITAS,ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE SÃO PAULO,SÃO PAULO,60.502.242/0001-05,SAÚDE,CUSTEIO,100000
2021,ADALBERTO FREITAS,CASA DE DAVID TABERNACULO ESPIRITA PARA EXCEPCIONAIS,SÃO PAULO,61.957.627/0001-20,SAÚDE,CUSTEIO,100000
2021,ADALBERTO FREITAS,GRUPO DE APOIO AO ADOLESCENTE E A CRIANCA COM C GRAACC,SÃO PAULO,67.185.694/0001-50,SAÚDE,CUSTEIO,100000
2021,ADALBERTO FREITAS,INSTITUTO DO CANCER ARNALDO VIEIRA DE CARVALHO,SÃO PAULO,60.945.854/0001-72,SAÚDE,CUSTEIO,100000
2021,ADALBERTO FREITAS,INSTITUTO SUEL ABUJAMRA,SÃO PAULO,05.095.474/0001-88,SAÚDE,CUSTEIO,100000
2021,ADALBERTO FREITAS,PREFEITURA MUNICIPAL DE CABREÚVA,CABREÚVA,46.634.432/0001-55,SAÚDE,CUSTEIO,500000
2021,ADALBERTO FREITAS,PREFEITURA MUNICIPAL DE CHAVANTES,CHAVANTES,44.563.575/0001-98,SAÚDE,CUSTEIO,500000
2021,ADALBERTO FREITAS,PREFEITURA MUNICIPAL DE EMBU-GUAÇU,EMBU-GUAÇU,46.523.148/0001-01,SAÚDE,CUSTEIO,500000
2021,ADALBERTO FREITAS,PREFEITURA MUNICIPAL DE PENÁPOLIS,PENÁPOLIS,49.576.416/0001-41,SAÚDE,CUSTEIO,500000
2021,ADALBERTO FREITAS,UNIVERSIDADE ESTADUAL DE CAMPINAS - CAISM,CAMPINAS,46.068.425/0001-33,SAÚDE,CUSTEIO (EMENDA DESTINADA AO CAISM),108000
2021,ADRIANA BORGO,ASSOCIAÇÃO SANTAMARENSE DE BENEFICÊNCIA DO GUARUJÁ,GUARUJÁ,48.697.338-0001/70,SAÚDE,CUSTEIO,300000
2021,ADRIANA BORGO,PREFEITURA MUNICIPAL DE ÁGUAS DE SÃO PEDRO,ÁGUAS DE SÃO PEDRO,45.739.174/0001-09,SAÚDE,CUSTEIO,100000
2021,ADRIANA BORGO,PREFEITURA MUNICIPAL DE AGUDOS,AGUDOS,46.137.444/0001-74,SAÚDE,CUSTEIO,100000
