ano,parlamentar,entidade_beneficiada,municipio,cnpj,orgao,objeto,valor
2020,ADALBERTO FREITAS,PREFEITURA MUNICIPAL DE VALINHOS,VALINHOS,45.787.678/0001-02,SAÚDE,CUSTEIO,180000
2020,ADALBERTO FREITAS,PREFEITURA MUNICIPAL DE LINS,LINS,44.531.788/0001-38,SAÚDE,CUSTEIO,250000
2020,ADALBERTO FREITAS,PREFEITURA MUNICIPAL DE VALPARAÍSO,VALPARAÍSO,72.836.588/0001-29,SAÚDE,CUSTEIO,200000
2020,ADALBERTO FREITAS,PREFEITURA MUNICIPAL DE MIRANDÓPOLIS,MIRANDÓPOLIS,44.438.968/0001-70,SAÚDE,CUSTEIO,200000
2020,ADALBERTO FREITAS,PREFEITURA MUNICIPAL DE ITAPETININGA,ITAPETININGA,46.634.291/0001-70,SAÚDE,CUSTEIO,210000
2020,ADALBERTO FREITAS,PREFEITURA MUNICIPAL DE CARAGUATATUBA,CARAGUATATUBA,46.482.840/0001-39,SAÚDE,CUSTEIO,450000
2020,ADALBERTO FREITAS,PREFEITURA MUNICIPAL DE MARÍLIA,MARÍLIA,44.477.909/0001-00,SAÚDE,CUSTEIO,490000
2020,ADALBERTO FREITAS,PREFEITURA MUNICIPAL DE APIAÍ,APIAÍ,46.634.242/0001-38,SAÚDE,CUSTEIO,100000
2020,ADALBERTO FREITAS,PREFEITURA MUNICIPAL DE TUPÃ,TUPÃ,44.573.087/0001-61,SAÚDE,CUSTEIO,350000
2020,ADALBERTO FREITAS,PREFEITURA MUNICIPAL DE ARARAQUARA,ARARAQUARA,45.276.128/0001-10,SAÚDE,CUSTEIO,150000
2020,ADRIANA BORGO,IRMANDADE SANTA CASA DE MISERICÓRDIA DE ARARAS,ARARAS,44.215.341/0001-50,SAÚDE,CUSTEIO,100000
2020,ADRIANA BORGO,PREFEITURA MUNICIPAL DE AREALVA,AREALVA,46.137.428/0001-81,SAÚDE,CUSTEIO,100000
2020,ADRIANA BORGO,ASPE-ASSISTÊNCIA À SAÚDE DO PACIENTE COM EPILEPSIA,CAMPINAS,05.750.553/0001-85,SAÚDE,CUSTEIO,200000
2020,ADRIANA BORGO,ENTIDADE MUNICIPAL SANTA CASA DE MISERICÓRDIA GUAÍRA,GUAÍRA,48.341.283/0001-61,SAÚDE,CUSTEIO,100000
2020,ADRIANA BORGO,SANTA CASA DE MISERICÓRDIA,IGARAPAVA,49.376.858/0001-44,SAÚDE,CUSTEIO,120000
2020,ADRIANA BORGO,PREFEITURA MUNICIPAL DE PARANAPUÃ,PARANAPUÃ,45.134.236/0001-59,SAÚDE,CUSTEIO,100000
2020,ADRIANA BORGO,CRPI - CENTRO DE RECUPERAÇÃO DE PARILISIA INFANTIL E CEREBRAL,GUARUJÁ,48.703.342/0001-02,SAÚDE,CUSTEIO,135000
2020,ADRIANA BORGO,HOSPITAL AMARAL CARVALHO,JAÚ,50.753.755/0001-35,SAÚDE,CUSTEIO,100000
2020,ADRIANA BORGO,"APRAESPI - ASSOCIAÇÃO DE PREVENÇÃO, ATENDIMENTO ESPECIALIZADO E INLUSÃO DA PESSOA COM DEFICIÊNCIA",RIBEIRÃO PIRES,57.621.377/0001-85,SAÚDE,CUSTEIO,100000
2020,ADRIANA BORGO,PREFEITURA MUNICIPAL DE BORBOREMA,BORBOREMA,46.737.219/0001-79,SAÚDE,CUSTEIO,120000
2020,ADRIANA BORGO,CONDERG - HOSPITAL REGIONAL DE DIVINOLÂNDIA,DIVINOLÂNDIA,52.356.268/0002-45,SAÚDE,CUSTEIO,100000
